"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.707347045,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.23025389,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.37194537,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.342173707,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.783144453,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.975955133,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.933902409,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.582739256,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.951819525,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.705927211,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.477095375,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.11233926,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.048424394,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.460419213,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.909809235,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.678557922,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425207684,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.902373924,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.283015987,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.272161782,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.212884852,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.831190593,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.7750147,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.864382398,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895297798,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.610498689,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.602985598,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.864747022,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.219474967,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463312095,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.252141241,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.489050938,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.021820745,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.542648672,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.159810035,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.643092868,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.882026317,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.275567896,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.134377763,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.351939802,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.622389427,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.090098674,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.353840413,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.884200546,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.137065039,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.73119702,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.448936012,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.418474278,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.116862914,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.078416122,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.402531636,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.583158084,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.142541435,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.533165416,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.88606738,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.637545076,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.386645033,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.707302713,
"OECD","QGDP","TOT","PC_CHGPP","A","2020",-4.388325842,
"OECD","QGDP","TOT","PC_CHGPP","A","2021",5.595817747,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.943015787,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.050014117,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.339832053,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.425026894,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.087636986,
"EST","QGDP","TOT","PC_CHGPP","A","2001",6.00367406,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.771366974,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.600265729,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.804003009,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.526428986,
"EST","QGDP","TOT","PC_CHGPP","A","2006",9.765582251,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.579142637,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.131999487,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.629059663,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.44426636,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.263085848,
"EST","QGDP","TOT","PC_CHGPP","A","2012",3.228202109,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.458430169,
"EST","QGDP","TOT","PC_CHGPP","A","2014",3.01136295,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.853019077,
"EST","QGDP","TOT","PC_CHGPP","A","2016",3.155566814,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.792042325,
"EST","QGDP","TOT","PC_CHGPP","A","2018",3.784204487,
"EST","QGDP","TOT","PC_CHGPP","A","2019",3.73970535,
"EST","QGDP","TOT","PC_CHGPP","A","2020",-0.551002495,
"EST","QGDP","TOT","PC_CHGPP","A","2021",8.013466342,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.450289556,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.00209888,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.576950295,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q4",2.996160574,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q1",3.466854108,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q2",5.112241186,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.465212346,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.759933392,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q1",-0.372460846,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q2",3.02141052,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q3",4.102017033,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q4",4.832455357,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q1",10.127128404,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q2",6.688292601,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q3",4.182533938,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q4",5.091160602,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q1",5.361369982,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q2",5.732236512,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q3",5.341682654,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q4",4.549872774,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q1",4.73437015,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q2",3.424303762,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q3",2.866220447,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q4",0.657536009,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q1",-1.629790537,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q2",-2.237879279,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q3",0,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q4",2.892640581,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q1",4.617508884,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q2",5.761267217,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q3",5.534700242,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q4",5.767579384,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q1",7.174887892,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q2",7.71280633,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q3",7.663339108,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q4",7.692303547,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q1",3.372586353,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q2",6.120867916,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q3",5.82953727,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q4",5.111265622,"E"
